frame,price,supplier
470087,10.69,roma
471000,1.99,roma
471052,2.3,roma
471054,2.3,roma
471055,2.3,roma
472000,3.69,roma
472052,3.99,roma
472054,3.99,roma
472055,3.99,roma
482000,4.53,roma
482009,4.53,roma
482045,4.53,roma
482046,4.53,roma
482048,4.53,roma
482052,4.53,roma
482054,4.53,roma
482055,5.09,roma
482056,5.09,roma
482062,5.09,roma
483000,5.66,roma
483009,5.66,roma
483045,5.66,roma
483048,5.66,roma
483052,5.66,roma
483054,5.66,roma
483055,6.79,roma
483056,6.79,roma
483062,6.79,roma
501100,1.59,roma
525010,2.9,roma
525013,2.9,roma
525032,2.9,roma
525045,2.9,roma
525046,2.9,roma
525050,2.9,roma
525052,2.9,roma
525074,2.9,roma
527009,3.05,roma
527045,3.05,roma
527054,3.56,roma
527069,3.05,roma
527074,3.05,roma
527098,3.05,roma
527099,3.05,roma
528009,4.58,roma
528045,4.58,roma
528054,5.08,roma
528069,4.58,roma
529009,5.85,roma
529045,5.85,roma
529054,6.73,roma
529069,5.85,roma
530009,5.85,roma
530045,5.85,roma
530054,6.73,roma
530069,5.85,roma
531009,11.45,roma
531045,11.45,roma
531054,12.72,roma
531069,11.45,roma
532009,7.25,roma
532045,7.25,roma
532054,7.96,roma
532069,7.25,roma
533000,3.03,roma
533009,3.03,roma
533034,3.0,roma
533045,3.0,roma
533046,3.0,roma
533086,3.03,roma
533087,3.03,roma
534000,5.31,roma
534009,5.31,roma
534034,5.39,roma
534045,5.39,roma
534046,5.39,roma
534086,5.31,roma
534087,5.31,roma
535000,10.9,roma
535009,10.9,roma
535034,10.88,roma
535045,10.88,roma
535046,10.88,roma
535086,10.9,roma
535087,10.9,roma
536000,2.89,roma
536009,2.89,roma
536013,2.89,roma
536038,2.89,roma
536046,2.89,roma
536052,2.89,roma
536054,2.89,roma
536074,2.89,roma
536098,2.89,roma
536099,2.89,roma
537009,11.45,roma
537045,11.45,roma
537054,12.03,roma
537069,11.45,roma
543800,5.59,roma
543805,5.85,roma
543806,5.85,roma
543809,5.82,roma
550086,3.21,roma
550087,3.21,roma
555086,6.44,roma
555087,6.44,roma
556086,12.34,roma
556087,12.34,roma
560086,9.69,roma
560087,9.69,roma
561086,21.78,roma
606000,17.0,roma
606051,17.0,roma
606052,17.0,roma
690001,5.31,roma
691001,3.53,roma
692001,5.11,roma
693001,5.4,roma
694001,7.79,roma
695001,12.55,roma
742045,5.48,roma
742046,5.48,roma
742048,5.48,roma
742054,5.79,roma
